name,Energie,Acide Gras,Sucre,Sodium,Proteine,Fibre,Teneur en fruits,nova_grade,nutriscore_grade,nutriscore_score,categories
Flageolets verts extrafins,369.0,0.1,0.0,232.0,5.5,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Aliments à base de plantes en conserve, Légumineuses en conserve, Haricots en conserve, Flageolets en conserve, Légumes en conserve et bocal"
Flageolets verts extrafins,369.0,0.1,0.0,232.0,5.5,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Aliments à base de plantes en conserve, Légumineuses en conserve, Haricots en conserve, Flageolets en conserve, Légumes en conserve et bocal"
Petits pois extrafins et jeunes carottes à l'étuvée,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Petits pois extrafins et jeunes carottes à l'étuvée,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Petits pois extrafins et jeunes carottes à l'étuvée,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Petits pois extrafins et jeunes carottes à l'étuvée,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée très fins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Graines, Aliments à base de plantes en conserve, Graines de légumineuses, Légumes et dérivés, Légumes en conserve, Légumineuses sèches, Légumineuses en conserve, Petits pois, Petits pois en conserve, Pois"
Petits pois à l'étuvée très fins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée très fins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée très fins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée très fins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée très fins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Léa Nature - Pomme Vanille bourbon,233.0,0.0,11.0,0.0,0.0,1.5,100.0,1.0,A,-4,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Desserts, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Compotes, Compotes de pomme, Compotes pommes vanille"
Purée de fruits pomme sans sucres ajoutés bio,215.0,0.1,11.0,0.0,0.5,1.4,99.0,1.0,A,-4,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Desserts, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Compotes, Compotes de pomme, Compotes pommes nature"
Flocons 5 céréales 500g,1457.0,0.6,1.0,4.0,9.7,12.0,0.0,1.0,A,-6,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Flocons, Flocons de céréales, Flocons laminés, Flocons d'avoine"
Lait de chèvre demi-écrémé,197.0,1.1,4.5,72.0,3.6,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits homogénéisés, Laits de chèvre, Laits demi-écrémés, Laits UHT, Lait de chèvre demi-écrémé"
Lait de chèvre demi-écrémé,197.0,1.1,4.5,72.0,3.6,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits de chèvre, Laits demi-écrémés"
Fromage blanc velouté à 0 % de matières grasses,224.0,0.2,5.3,36.0,6.8,0.0,0.0,3.0,A,-3,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
Fromage blanc velouté à 0 % de matières grasses,224.0,0.2,5.3,36.0,6.8,0.0,0.0,3.0,A,-3,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
"Légumes Poulet Fermier, avec petits morceaux",264.0,0.4,2.2,20.0,2.5,1.6,0.0,3.0,A,-2,Repas pour bébés
"Risotto de légumes, avec petits morceaux",268.0,1.1,2.7,44.0,2.0,2.1,0.0,3.0,A,-2,Repas pour bébés
Petits pois à l'étuvée extrafins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Graines, Aliments à base de plantes en conserve, Graines de légumineuses, Légumes et dérivés, Légumes en conserve, Légumineuses sèches, Légumineuses en conserve, Petits pois, Petits pois en conserve, Pois"
Petits pois à l'étuvée extrafins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée extrafins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée extrafins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée extrafins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée extrafins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Flageolets verts extrafins,369.0,0.1,0.0,232.0,5.5,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Aliments à base de plantes en conserve, Légumineuses en conserve, Haricots en conserve, Flageolets en conserve, Légumes en conserve et bocal"
Flageolets verts extrafins,369.0,0.1,0.0,232.0,5.5,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Aliments à base de plantes en conserve, Légumineuses en conserve, Haricots en conserve, Flageolets en conserve, Légumes en conserve et bocal"
Flageolets verts extrafins,369.0,0.1,0.0,232.0,5.5,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Aliments à base de plantes en conserve, Légumineuses en conserve, Haricots en conserve, Flageolets en conserve, Légumes en conserve et bocal"
Flageolets verts extrafins,369.0,0.1,0.0,232.0,5.5,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Aliments à base de plantes en conserve, Légumineuses en conserve, Haricots en conserve, Flageolets en conserve, Légumes en conserve et bocal"
Flageolets verts extrafins,369.0,0.1,0.0,232.0,5.5,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Aliments à base de plantes en conserve, Légumineuses en conserve, Haricots en conserve, Flageolets en conserve, Légumes en conserve et bocal"
Flageolets verts extrafins,369.0,0.1,0.0,232.0,5.5,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Aliments à base de plantes en conserve, Légumineuses en conserve, Haricots en conserve, Flageolets en conserve, Légumes en conserve et bocal"
Flageolets verts extrafins,369.0,0.1,0.0,232.0,5.5,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Aliments à base de plantes en conserve, Légumineuses en conserve, Haricots en conserve, Flageolets en conserve, Légumes en conserve et bocal"
Flageolets verts extrafins,369.0,0.1,0.0,232.0,5.5,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Aliments à base de plantes en conserve, Légumineuses en conserve, Haricots en conserve, Flageolets en conserve, Légumes en conserve et bocal"
Haricots verts très fins coupés,106.0,0.0,0.5,220.0,1.7,3.2,100.0,3.0,A,-7,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Haricots verts, Légumineuses en conserve, Haricots verts en conserve, Légumes en conserve et bocal"
Haricots verts très fins coupés,106.0,0.0,0.5,220.0,1.7,3.2,100.0,3.0,A,-7,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Haricots verts, Légumineuses en conserve, Haricots verts en conserve, Légumes en conserve et bocal"
Haricots verts très fins coupés,106.0,0.0,0.5,220.0,1.7,3.2,100.0,3.0,A,-7,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Aliments à base de fruits et de légumes, Légumineuses, Légumes et dérivés, Haricots verts, Légumes en conserve et bocal"
"CROZETS de Savoie au sarrasin, aux œufs frais",1550.0,0.8,2.5,100.0,13.0,3.5,0.0,1.0,A,-3,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Graines, Céréales et dérivés, Céréales en grains, Pâtes alimentaires, Riz, Crozets"
Garniture de légumes,181.0,0.0,1.7,204.0,1.8,2.8,69.04,3.0,A,-4,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumes en conserve et bocal"
Maïs doux croquant,373.0,0.5,4.9,172.0,2.9,3.8,100.0,3.0,A,-7,Légumes en conserve et bocal
Maïs doux croquant,373.0,0.5,4.9,172.0,2.9,3.8,100.0,3.0,A,-7,Légumes en conserve et bocal
Maïs croquant sous vide.,373.0,0.5,4.9,172.0,2.9,3.8,100.0,3.0,A,-7,Légumes en conserve et bocal
Maïs croquant sous vide.,373.0,0.5,4.9,172.0,2.9,3.8,100.0,3.0,A,-7,Légumes en conserve et bocal
Salsifis,110.0,0.0,1.6,260.0,1.1,2.7,100.0,3.0,A,-5,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Salsifis en conserve, Légumes en conserve et bocal"
Salsifis,110.0,0.0,1.6,260.0,1.1,2.7,100.0,3.0,A,-5,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Salsifis en conserve, Légumes en conserve et bocal"
Salsifis,110.0,0.0,1.6,260.0,1.1,2.7,100.0,3.0,A,-5,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Salsifis en conserve, Légumes en conserve et bocal"
Petits pois extrafins et jeunes carottes à l'étuvée,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Petits pois extrafins et jeunes carottes à l'étuvée,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Petits pois extrafins et jeunes carottes à l'étuvée,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Petits pois extrafins et jeunes carottes à l'étuvée,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée extrafins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Graines, Aliments à base de plantes en conserve, Graines de légumineuses, Légumes et dérivés, Légumes en conserve, Légumineuses sèches, Légumineuses en conserve, Petits pois, Petits pois en conserve, Pois"
Petits pois à l'étuvée extrafins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée extrafins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée extrafins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée extrafins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Petits pois à l'étuvée extrafins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Poêlée à la parisienne,289.0,0.8,1.7,268.0,2.5,3.5,79.71,4.0,A,-6,"Surgelés, Plats préparés, Poêlées, Plats préparés surgelés, Légumes bruts, Poêlée parisienne"
Le nature,176.0,0.7,4.6,52.0,3.6,0.0,0.0,3.0,A,-1,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts nature, Fromages blancs"
Le nature,176.0,0.7,4.6,52.0,3.6,0.0,0.0,3.0,A,-1,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Frais, Desserts lactés fermentés, Yaourts, Yaourts nature, Fromages blancs"
Fromage blanc velouté 3% de mat. gr. sur produit fini,291.0,2.0,4.1,52.0,6.5,0.0,0.0,3.0,A,-3,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Fromages, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
Fromage blanc velouté 3% de mat. gr. sur produit fini,291.0,2.0,4.1,52.0,6.5,0.0,0.0,3.0,A,-3,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Yaourts, Fromages blancs, Fromages blancs natures"
Le Nature,176.0,0.7,4.6,52.0,3.6,0.0,0.0,3.0,A,-1,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts nature, Fromages blancs"
Le Nature,176.0,0.7,4.6,52.0,3.6,0.0,0.0,3.0,A,-1,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Frais, Desserts lactés fermentés, Yaourts, Yaourts nature, Fromages blancs"
Lait demi-écrémé stérilisé UHT,193.0,1.0,4.8,52.0,3.3,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits homogénéisés, Laits demi-écrémés, Laits UHT"
Lait demi-écrémé stérilisé UHT,193.0,1.0,4.8,52.0,3.3,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits homogénéisés, Produits de montagne, Laits demi-écrémés, Laits UHT, Laits de montagne"
Lait demi-écrémé stérilisé UHT,193.0,1.0,4.8,52.0,3.3,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits homogénéisés, Laits demi-écrémés, Laits UHT"
Lait écrémé stérilisé UHT,143.0,0.1,4.8,52.0,3.3,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits homogénéisés, Laits UHT, Laits écrémés"
Lait de chèvre demi-écrémé,197.0,1.1,4.5,72.0,3.6,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits homogénéisés, Laits de chèvre, Laits demi-écrémés, Laits UHT, Lait de chèvre demi-écrémé"
Lait de chèvre demi-écrémé,197.0,1.1,4.5,72.0,3.6,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits de chèvre, Laits demi-écrémés"
Lait Facile à digérer à teneur réduite en lactose,182.0,0.8,4.8,40.0,3.3,0.0,0.0,3.0,A,-1,"Produits laitiers, Laits"
Lait de Montagne demi-écrémé stérilisé UHT,193.0,1.0,4.8,52.0,3.3,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits homogénéisés, Laits demi-écrémés, Laits UHT"
Lait de Montagne demi-écrémé stérilisé UHT,193.0,1.0,4.8,52.0,3.3,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits homogénéisés, Produits de montagne, Laits demi-écrémés, Laits UHT, Laits de montagne"
Lait de Montagne demi-écrémé stérilisé UHT,193.0,1.0,4.8,52.0,3.3,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits homogénéisés, Laits demi-écrémés, Laits UHT"
Lait de Montagne demi-écrémé stérilisé UHT,193.0,1.0,4.8,52.0,3.3,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits homogénéisés, Laits demi-écrémés, Laits UHT"
Lait de Montagne demi-écrémé stérilisé UHT,193.0,1.0,4.8,52.0,3.3,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits homogénéisés, Produits de montagne, Laits demi-écrémés, Laits UHT, Laits de montagne"
Lait de Montagne demi-écrémé stérilisé UHT,193.0,1.0,4.8,52.0,3.3,0.0,0.0,1.0,A,-1,"Produits laitiers, Laits, Laits homogénéisés, Laits demi-écrémés, Laits UHT"
Chair de tomates basilic,196.0,0.2,4.2,200.0,1.3,2.6,99.54,3.0,A,-5,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Condiments, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Sauces, Tomates et dérivés, Tomates, Tomates en conserve"
Coulis de tomates BIO,181.0,0.0,6.0,120.0,2.1,2.8,0.0,3.0,A,-1,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Condiments, Aliments à base de fruits et de légumes, Légumes et dérivés, Sauces, Tomates et dérivés, Coulis de tomates"
Chair de tomate nature,144.0,0.0,4.8,160.0,1.2,1.9,99.7,1.0,A,-4,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Condiments, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Sauces, Tomates et dérivés, Tomates, Tomates en conserve"
"Carotte, pomme de terre, bœuf Bio, avec morceaux",198.0,0.1,1.3,100.0,2.0,1.4,0.0,3.0,A,-1,Repas pour bébés
CROISSANCE NATURE 10 mois à 3 ans,269.0,1.0,3.1,36.0,1.9,0.0,0.0,4.0,A,-1,Repas pour bébés
6 Œufs frais de LABEL ROUGE calibre GROS,589.0,2.6,0.3,124.0,13.0,0.0,0.0,1.0,A,-1,"Produits d'élevages, Œufs, Œufs de poules, Œufs de poules élevées en plein air, Oeufs Label Rouge, Oeufs labellisés, Produits Label Rouge, Produits labellisés"
6 Œufs frais de LABEL ROUGE calibre GROS,589.0,2.6,0.3,124.0,13.0,0.0,0.0,1.0,A,-1,"Produits d'élevages, Œufs, Œufs de poules, Œufs de poules élevées en plein air"
6 Œufs frais de LABEL ROUGE calibre GROS,589.0,2.6,0.3,124.0,13.0,0.0,0.0,1.0,A,-1,"Produits d'élevages, Œufs, Œufs de poules, Œufs de poules élevées en plein air"
6 / 10 Oeufs frais de,593.0,2.6,0.8,132.0,12.6,0.0,0.0,1.0,A,-1,"Produits d'élevages, Frais, Œufs, Œufs de poules, Œufs de poules élevées en plein air, Oeufs biologiques, Oeufs labellisés biologiques"
6 / 10 Oeufs frais de,593.0,2.6,0.8,132.0,12.6,0.0,0.0,1.0,A,-1,"Produits d'élevages, Œufs, Œufs de poules, Œufs de poules élevées en plein air, Oeufs-labellises-biologiques"
6 / 12 Oeufs frais,589.0,2.6,0.3,124.0,13.0,0.0,0.0,1.0,A,-1,"Produits d'élevages, Œufs, Œufs de poules, Œufs de poules élevées en plein air, Oeufs Label Rouge, Oeufs labellisés, Produits Label Rouge, Produits labellisés"
6 / 12 Oeufs frais,589.0,2.6,0.3,124.0,13.0,0.0,0.0,1.0,A,-1,"Produits d'élevages, Œufs, Œufs de poules, Œufs de poules élevées en plein air"
6 / 12 Oeufs frais,589.0,2.6,0.3,124.0,13.0,0.0,0.0,1.0,A,-1,"Produits d'élevages, Œufs, Œufs de poules, Œufs de poules élevées en plein air"
6 / 12 Oeufs frais,589.0,2.6,0.3,124.0,13.0,0.0,0.0,1.0,A,-1,"Produits d'élevages, Œufs, Œufs de poules, Œufs de poules élevées en plein air, Oeufs Label Rouge, Oeufs labellisés, Produits Label Rouge, Produits labellisés"
6 / 12 Oeufs frais,589.0,2.6,0.3,124.0,13.0,0.0,0.0,1.0,A,-1,"Produits d'élevages, Œufs, Œufs de poules, Œufs de poules élevées en plein air"
6 / 12 Oeufs frais,589.0,2.6,0.3,124.0,13.0,0.0,0.0,1.0,A,-1,"Produits d'élevages, Œufs, Œufs de poules, Œufs de poules élevées en plein air"
Pois Cassés de France,1413.0,0.3,2.6,12.0,21.0,11.0,100.0,1.0,A,-11,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Céréales et pommes de terre, Légumineuses, Graines, Céréales et dérivés, Graines de légumineuses, Céréales en grains, Pâtes alimentaires, Légumineuses sèches, Riz, Pois"
Lentilles vertes,1269.0,0.2,2.3,0.0,25.0,27.0,0.0,1.0,A,-7,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Aliments à base de fruits et de légumes, Légumineuses, Graines, Graines de légumineuses, Légumes et dérivés, Légumineuses sèches, Lentilles, Lentilles vertes"
Napolitaine,183.0,0.2,3.7,280.0,1.3,2.1,73.59,3.0,A,-2,"Condiments, Sauces, Sauces tomate, Sauces napolitaines, Epicerie"
Napolitaine,183.0,0.2,3.7,280.0,1.3,2.1,73.59,3.0,A,-2,"Condiments, Sauces, Sauces tomate, Sauces napolitaines, Epicerie"
"Légumes verts Pâtes, avec morceaux",274.0,0.6,3.7,28.0,2.8,2.1,0.0,3.0,A,-3,Repas pour bébés
