name,Energie,Acide Gras,Sucre,Sodium,Proteine,Fibre,Teneur en fruits,nova_grade,nutriscore_grade,nutriscore_score,categories
Coq au Vin aux pommes de terre et aux carottes,371.0,0.7,0.9,244.0,6.58,1.0,35.75,4.0,A,-2,"Conserves, Plats préparés, en:meat-based-products, Plats préparés à la viande, Plats à la volaille, Plats préparés en conserve, Plats au poulet, Coq au vin"
Paupiette de veau jardinière de légumes,465.0,1.5,1.6,232.0,8.1,2.1,31.9,3.0,A,-3,"Viandes, Plats préparés, en:meat-based-products, Plats préparés à la viande, Plats au bœuf, Viandes de veau, Plats préparés à réchauffer au micro-ondes, Plats au veau, Paupiette de veau"
8 palets de légumes,385.0,0.5,3.1,360.0,4.9,3.2,90.0,4.0,A,-7,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Surgelés, Plats préparés, Légumes préparés, Palets de légumes préfrits cuits surgelés, Produits surgelés"
Purée pomme fruits rouges,269.0,0.0,9.8,4.0,0.3,2.0,100.0,1.0,A,-5,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Desserts, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Compotes, Compotes de pomme, Compotes de fruits rouges, Compotes pommes fruits rouges"
Le petit frais 0% mat.gr,209.0,0.0,2.7,44.0,9.6,0.0,0.0,3.0,A,-5,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Petits suisses, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
"Fromage blanc à 2,8 % de matière grasse",301.0,1.9,4.9,36.0,6.7,0.0,0.0,3.0,A,-2,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
"Fromage blanc à 2,8 % de matière grasse",301.0,1.9,4.9,36.0,6.7,0.0,0.0,3.0,A,-2,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
Fromage blanc à 0% de matières grasses,224.0,0.2,5.3,36.0,6.8,0.0,0.0,3.0,A,-3,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
Fromage blanc à 0% de matières grasses,224.0,0.2,5.3,36.0,6.8,0.0,0.0,3.0,A,-3,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
Fromage blanc bio 3.2% de mat.gr.sur produit fini,305.0,2.1,3.5,52.0,7.5,0.0,0.0,3.0,A,-2,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
Fromage blanc velouté 2.8 % de matières grasses,301.0,1.9,4.9,36.0,6.7,0.0,0.0,3.0,A,-2,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
Fromage blanc velouté 2.8 % de matières grasses,301.0,1.9,4.9,36.0,6.7,0.0,0.0,3.0,A,-2,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
FROMAGE FRAIS SAVEUR VANILLE 0%MG,334.0,0.2,12.0,40.0,7.0,0.0,0.0,4.0,A,-2,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Fromages blancs, Fromages blancs aromatisés"
Napolitaine,183.0,0.2,3.7,280.0,1.3,2.1,73.59,3.0,A,-2,"Condiments, Sauces, Sauces tomate, Sauces napolitaines, Epicerie"
Napolitaine,183.0,0.2,3.7,280.0,1.3,2.1,73.59,3.0,A,-2,"Condiments, Sauces, Sauces tomate, Sauces napolitaines, Epicerie"
Eau de source finement Pétillante,0.0,0.0,0.0,13100.0,0.0,0.0,0.0,1.0,E,10,"Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Eaux gazeuses"
Tartine craquante sarrasin riz maïs,1554.0,0.6,1.5,240.0,11.3,4.7,0.0,3.0,A,-3,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Tartines craquantes extrudées"
Petits pois extrafins et carottes à l'étuvée,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Petits pois extrafins et carottes à l'étuvée,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Petits pois extrafins et carottes à l'étuvée,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Petits pois extrafins et carottes à l'étuvée,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Farine de blé T65,1457.0,0.1,2.3,4.0,9.9,2.1,0.0,1.0,A,-3,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Farines, Farines de céréales, Farines de blé, Farines de froment, Farines de blé type T65"
Farine de blé T65,1457.0,0.1,2.3,4.0,9.9,2.1,0.0,1.0,A,-3,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Farines, Farines de céréales, Farines de blé, Farines de froment, Farines de blé type T65"
Farine de blé T65,1457.0,0.1,2.3,4.0,9.9,2.1,0.0,1.0,A,-3,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Farines, Farines de céréales, Farines de blé, Farines de froment, Farines de blé type T65"
Betteraves rouges entières,221.0,0.1,10.0,10.0,0.9,2.3,100.0,3.0,A,-5,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Légumes et dérivés, Légumes préparés, Légumes cuits, Betteraves, Betteraves rouges cuites"
Epinards hachés,103.0,0.0,0.9,16.0,2.4,2.5,100.0,1.0,A,-8,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Surgelés, Légumes et dérivés, Aliments à base de plantes surgelés, Légumes surgelés, Légumes-feuilles, Épinards, Épinards surgelés, Légumes bruts"
Brocolis en fleurettes précuits à la vapeur,109.0,0.0,1.1,16.0,2.5,2.5,100.0,1.0,A,-8,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Surgelés, Légumes et dérivés, Aliments à base de plantes surgelés, Légumes surgelés, Brocolis, Brocolis surgelés, Légumes bruts"
Chouxfleurs en fleurettes précuits à la vapeur,83.0,0.0,1.3,8.0,1.7,2.1,100.0,1.0,A,-8,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Surgelés, Légumes et dérivés, Aliments à base de plantes surgelés, Légumes surgelés, Légumes-feuilles, Choux-fleurs, Choux-fleurs en fleurettes surgelés, Légumes bruts"
Purée de carottes,132.0,0.0,5.0,44.0,0.9,3.5,100.0,3.0,A,-7,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Surgelés, Plats préparés, Légumes et dérivés, Aliments à base de plantes surgelés, Légumes surgelés, Légumes préparés, Carottes, Purées, Carottes surgelées, Purées de légumes, Purées de carottes, Légumes bruts, Purée de carottes surgelée"
Chouxfleurs en fleurettes,89.0,0.0,1.6,0.0,1.9,2.8,100.0,1.0,A,-8,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Surgelés, Légumes et dérivés, Aliments à base de plantes surgelés, Légumes surgelés, Légumes-feuilles, Choux-fleurs, Choux-fleurs en fleurettes surgelés, Légumes bruts"
Carottes en rondelles,128.0,0.0,4.3,24.0,0.8,3.4,100.0,1.0,A,-8,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Surgelés, Légumes et dérivés, Aliments à base de plantes surgelés, Légumes surgelés, Carottes, Carottes surgelées, Légumes bruts"
Petits pois extra-fins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Graines, Aliments à base de plantes en conserve, Graines de légumineuses, Légumes et dérivés, Légumes en conserve, Légumineuses sèches, Légumineuses en conserve, Petits pois, Petits pois en conserve, Pois"
Petits pois extra-fins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Petits pois extra-fins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumes en conserve et bocal"
Petits pois extra-fins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Petits pois extra-fins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Petits pois extra-fins,368.0,0.2,3.7,212.0,5.8,6.1,100.0,4.0,A,-10,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve, Légumes en conserve et bocal"
Lait fermenté,151.0,0.3,4.4,52.0,3.2,0.0,0.0,4.0,A,-1,"Produits laitiers, Laits, Laits fermentés"
Fromage blanc 60Cal.100g,291.0,2.0,4.1,52.0,6.5,0.0,0.0,3.0,A,-3,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Fromages, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
